0.3063	0.7589
0.3675	0.7359
0.4341	0.712
0.5064	0.6875
0.5842000000000001	0.6626
0.6675	0.6372
0.7565	0.6117
0.8509	0.5859
0.951	0.5602
1.0565	0.5343
1.1677	0.5086000000000001
1.2844	0.4829
1.4066	0.4574
1.5344	0.4321
1.6678	0.4069
1.8067	0.382
1.9512	0.3574
2.1013	0.333
2.2569	0.309
2.418	0.2852
2.5847	0.2618
2.757	0.2387
2.9348	0.216
3.1182	0.1937
3.3071	0.1718
3.5016	0.1503
3.7017	0.1293
3.9073	0.1087
4.1185	0.0885
4.3352	0.0689
4.5575	0.0497
4.7853	0.0311
5.0187	0.0131
5.2577	0.0047
5.5022	0.0216
5.7522	0.038
6.0079	0.0539
6.269	0.06909999999999999
6.5358	0.0838
6.8081	0.0978
7.0859	0.1112
7.3693	0.124
7.6583	0.1361
7.9528	0.1475
8.2529	0.1583
8.5586	0.1685
8.8698	0.1779
9.186500000000001	0.1867
9.508800000000001	0.1948
9.8367	0.2022
