2714 0,5022776
2715 0,261752
2716 0,08610834
2717 0,008921217
2718 0,5239466
2719 0,4135451
2720 0,2185022
2721 0,2889513
2722 0,1270674
2723 0,4915868
2724 0,4909112
2725 0,3890776
2726 0,315921
2727 0,3267506
2728 0,225988
2729 0,3323667
2730 0,4277952
2731 0,3163704
2732 0,2786065
2733 0,3974986
2734 0,4378548
2735 0,4028925
2736 0,2695133
2737 0,2160282
2738 0,2399458
2739 0,2821974
2740 0,3564731
2741 0,358634
2742 0,361656
2743 0,362196
2744 0,3160767
2745 0,3801986
2746 0,3845728
2747 0,4020847
2748 0,3777189
2749 0,3365405
2750 0,270645
2751 0,2682249
2752 0,308188
2753 0,406287
2754 0,2999054
2755 0,321653
2756 0,3627471
2757 0,3248106
2758 0,3913868
2759 0,4415666
2760 0,371463
2761 0,3159865
2762 0,4432915
2763 0,3621332
2764 0,3187003
2765 0,3610831
2766 0,3542922
2767 0,2768381
2768 0,338374
2769 0,2886637
2770 0,3757817
2771 0,3237368
2772 0,2829247
2773 0,2394801
2774 0,3027144
2775 0,3504691
2776 0,3490699
2777 0,3475955
2778 0,3659935
2779 0,3242776
2780 0,3433045
2781 0,4017948
2782 0,4511315
2783 0,3488905
2784 0,3216227
2785 0,3557292
2786 0,3637757
2787 0,2975524
2788 0,3688377
2789 0,3544746
2790 0,2781687
2791 0,2980584
2792 0,3433196
2793 0,3794956
2794 0,2955356
2795 0,2658441
2796 0,3562455
2797 0,3895454
2798 0,3440389
2799 0,3050879
2800 0,304605
2801 0,3248189
2802 0,2764959
2803 0,3028154
2804 0,3453848
2805 0,3466706
2806 0,3274916
2807 0,390124
2808 0,3742821
2809 0,3338773
2810 0,3613501
2811 0,2889709
2812 0,3532685
2813 0,3443929
2814 0,3549128
2815 0,2922163
2816 0,2398327
2817 0,3233777
2818 0,3437585
2819 0,3613877
2820 0,313542
2821 0,3553548
2822 0,4217538
2823 0,3812344
2824 0,4049745
2825 0,4140032
2826 0,4508161
2827 0,4232717
2828 0,4111011
2829 0,4510293
2830 0,4139387
2831 0,413975
2832 0,4283116
2833 0,3908544
2834 0,3871522
2835 0,2928361
2836 0,2885859
2837 0,2944256
2838 0,3444522
2839 0,4028244
2840 0,3772482
2841 0,3749938
2842 0,3349549
2843 0,3027962
2844 0,3675315
2845 0,3809708
2846 0,3000845
2847 0,309557
2848 0,3575387
2849 0,291569
2850 0,3429547
2851 0,3763804
2852 0,396803
2853 0,3969673
2854 0,4482064
2855 0,3892326
2856 0,3401612
2857 0,3804356
2858 0,3806912
2859 0,3502367
2860 0,3405708
2861 0,3768341
2862 0,4177267
2863 0,4206372
2864 0,3791863
2865 0,4004189
2866 0,3911836
2867 0,3853192
2868 0,3648533
2869 0,3583764
2870 0,3971957
2871 0,4092605
2872 0,4175749
2873 0,44683
2874 0,4538871
2875 0,4283714
2876 0,4252188
2877 0,2756666
2878 0,3383053
2879 0,3074352
2880 0,3206024
2881 0,3459799
2882 0,3926203
2883 0,4621057
2884 0,4641422
2885 0,4035374
2886 0,392435
2887 0,4274913
2888 0,3939519
2889 0,3724539
2890 0,3399937
2891 0,3599455
2892 0,4013816
2893 0,4264586
2894 0,3704726
2895 0,3746094
2896 0,3193116
2897 0,3812028
2898 0,3503516
2899 0,3580417
2900 0,4089935
2901 0,3972792
2902 0,334974
2903 0,3644566
2904 0,3173905
2905 0,3322471
2906 0,3475013
2907 0,320342
2908 0,3164562
2909 0,3486783
2910 0,3958826
2911 0,4170478
2912 0,4095698
2913 0,3655222
2914 0,4020481
2915 0,3783467
2916 0,3770112
2917 0,3362119
2918 0,3500374
2919 0,3838277
2920 0,3886584
2921 0,3948411
2922 0,3501538
2923 0,417832
2924 0,4202313
2925 0,3855065
2926 0,3706692
2927 0,3642886
2928 0,3725889
2929 0,2985291
2930 0,3267993
2931 0,3530707
2932 0,3936188
2933 0,4286429
2934 0,3704615
2935 0,3936394
2936 0,3816503
2937 0,3562457
2938 0,3349473
2939 0,3035286
2940 0,3511183
2941 0,3763738
2942 0,3473498
2943 0,3579652
2944 0,3867866
2945 0,3644425
2946 0,3789751
2947 0,2927524
2948 0,343181
2949 0,3262919
2950 0,3125955
2951 0,3527651
2952 0,3486926
2953 0,3685923
2954 0,3359287
2955 0,3396011
2956 0,3280415
2957 0,2806224
2958 0,3297924
2959 0,3526397
2960 0,3868491
2961 0,3687463
2962 0,3848641
2963 0,4464572
2964 0,3861482
2965 0,3820443
2966 0,3972606
2967 0,3642874
2968 0,3927573
2969 0,3945774
2970 0,3688134
2971 0,3658321
2972 0,3549732
2973 0,3633945
2974 0,3341696
2975 0,3841163
2976 0,3076824
2977 0,3572094
2978 0,3919359
2979 0,3652025
2980 0,2831802
2981 0,2661961
2982 0,2722757
2983 0,2942857
2984 0,3354275
2985 0,3123256
2986 0,2503976
2987 0,3173612
2988 0,327752
2989 0,3649889
2990 0,3286834
2991 0,3676711
2992 0,3340331
2993 0,3700607
2994 0,419018
2995 0,4495533
2996 0,4117889
2997 0,3867485
2998 0,3709949
2999 0,3299658
3000 0,3943333
3001 0,4471187
