4.000000000000000222e-01,9.817149517392186331e-01
8.000000000000000444e-01,8.102377409024047461e-01
1.199999999999999956e+00,6.797841476047571385e-01
2.000000000000000000e+00,5.037180893153656580e-01
3.000000000000000000e+00,3.747692843257502959e-01
4.000000000000000000e+00,2.965264136050879129e-01
5.000000000000000000e+00,2.446845358152474892e-01
6.000000000000000000e+00,2.080199224334149943e-01
7.000000000000000000e+00,1.807954220454974226e-01
8.000000000000000000e+00,1.598132865044520345e-01
9.000000000000000000e+00,1.431624558538051872e-01
