s_in_movement, Contrast_gaussian_beam_abs_density_mod,  Contrast_gaussian_beam_abs_density_mod_g1_1
0.400,  0.794,  0.845
0.800,  0.632,  0.727
1.200,  0.521,  0.657
2.000,  0.361,  0.571
3.000,  0.212,  0.498
4.000,  0.101,  0.450
5.000,  0.013,  0.413
6.000,  0.055,  0.385
7.000,  0.109,  0.362
8.000,  0.150,  0.343
9.000,  0.182,  0.326
10.000,  0.207,  0.311
