s_in,  Contrast_with_dephasing,  Contrast_without_dephasing
0.400,  0.879,  0.912
0.800,  0.830,  0.899
1.200,  0.717,  0.824
2.000,  0.518,  0.704
3.000,  0.341,  0.621
4.000,  0.200,  0.562
5.000,  0.088,  0.515
6.000,  0.007,  0.484
7.000,  0.069,  0.454
8.000,  0.122,  0.430
9.000,  0.161,  0.410
